Y;X;Bed
-7.577128043;111.157368714;1105.7
-7.583468052;111.157384666;1250.7
-7.591933601;111.157356121;1422.1
-7.597297870;111.157281128;1469.5
-7.612335900;111.157193439;1681.2
-7.618002437;111.157132357;1719.1
-7.621190807;111.157124677;1785.8
-7.639410889;111.155819781;1743.9
-7.658084119;111.153261524;1330.5
-7.673144715;111.152865772;1556.0
-7.683109317;111.152674334;1594.5
-7.692196580;111.151619865;1282.5
-7.701868957;111.150558912;1350.0
-7.709357178;111.149162701;1344.1
-7.711178984;111.148887536;1412.7
-7.719486281;111.148205943;1208.4
-7.724805379;111.147161615;1159.1
-7.727703439;111.146717345;1115.8
-7.732099052;111.146645204;1121.7
-7.735392185;111.146462841;1002.7
-7.737930346;111.146405050;984.4
-7.740641686;111.146452402;1137.1
-7.745127419;111.146316120;1032.4
-7.749878043;111.146215207;1028.8
-7.752821889;111.146095513;968.8
-7.754488895;111.146011380;903.4
-7.758574540;111.145951362;941.0
-7.761763408;111.145877985;895.6
-7.765960434;111.145756007;860.6
-7.770164904;111.146602425;807.2
-7.772142244;111.147175102;765.3
-7.773483319;111.147762622;755.5
-7.774798599;111.148686382;734.4
-7.778060486;111.151495440;706.6
-7.780368673;111.153679925;675.5
-7.777506618;111.156959062;728.9
-7.773591329;111.160930422;806.3
-7.772004663;111.161603126;820.4
-7.766337246;111.163624280;805.1
-7.761389613;111.164420777;914.3
-7.760102695;111.164772467;937.1
-7.754437322;111.165189162;945.6
-7.747812763;111.166064729;1179.5
-7.744903269;111.166467545;1233.8
-7.739581737;111.167196214;1203.3
-7.736085305;111.167597269;1254.7
-7.729801944;111.168354568;1281.5
-7.723982502;111.169507864;1496.1
-7.716931985;111.169749036;1695.5
-7.714115568;111.169815477;1775.2
-7.707716449;111.169837130;1533.2
-7.705798788;111.169915708;1646.0
-7.700171463;111.170055602;1735.3
-7.687460897;111.170243427;1623.5
-7.677843366;111.170510910;1830.8
-7.673483994;111.170525875;1700.8
-7.666009659;111.170630081;1634.3
-7.661692638;111.170743473;1706.2
-7.654029288;111.170955044;1868.1
-7.651312170;111.171048014;1942.0
-7.645544814;111.171514972;2075.9
-7.644324540;111.171543082;2063.1
-7.636184454;111.171766779;2243.6
-7.629554962;111.171930959;2326.5
-7.624949248;111.172315398;2330.3
-7.622759432;111.172338102;2309.3
-7.617135046;111.172406289;2219.7
-7.616223987;111.172425699;2221.4
-7.613711568;111.172453492;2198.2
-7.605735176;111.172208441;2028.9
-7.603019003;111.172190697;1865.8
-7.595962126;111.171322220;1767.3
-7.594081067;111.171351179;1716.2
-7.587932576;111.171091056;1636.4
-7.580829308;111.171095115;1389.1
-7.572648226;111.171168140;1239.8
-7.566685504;111.172479577;1093.3
-7.564668994;111.172809188;1069.1
-7.563386697;111.173147246;1022.6
-7.560106721;111.174137442;997.8
-7.558022258;111.174460930;938.6
-7.556673111;111.175108656;874.3
-7.554987593;111.176399951;844.0
-7.555352570;111.177036839;825.3
-7.560046115;111.179531120;941.7
-7.563937365;111.181413218;1075.1
-7.568121223;111.182962396;1215.2
-7.574047927;111.184486233;1436.9
-7.582186884;111.185335493;1746.4
-7.590500756;111.185854849;2010.3
-7.595947713;111.185800144;2259.6
-7.607233845;111.185955674;2561.3
-7.621089281;111.186063392;2895.7
-7.625124394;111.186002598;2952.6
-7.641574151;111.185634946;2488.3
-7.652303799;111.185386828;2126.9
-7.660522841;111.185213650;1959.0
-7.671586046;111.184986087;1783.5
-7.685205720;111.184772815;2000.5
-7.688273541;111.184734791;2110.5
-7.697146039;111.184596204;2247.6
-7.711221231;111.184277888;1823.0
-7.725754316;111.183970499;1544.2
-7.727686283;111.183926435;1497.5
-7.731824892;111.183840696;1417.1
-7.735152449;111.183754796;1200.5
-7.747555245;111.182877551;1080.2
-7.750508807;111.182810999;1023.4
-7.751492492;111.182470119;1005.9
-7.758803838;111.182332555;984.5
-7.760737704;111.182293558;947.3
-7.761392669;111.182279432;935.0
-7.764059129;111.182218210;872.7
-7.765368854;111.182190469;828.2
-7.767918656;111.182142844;823.9
-7.768286872;111.182451945;803.6
-7.770249511;111.183372821;778.1
-7.772160207;111.184619484;763.0
-7.773094929;111.185243906;793.6
-7.773642378;111.187156856;845.6
-7.773651408;111.188115325;862.9
-7.771734153;111.190066537;882.2
-7.769669108;111.192022048;825.7
-7.767143916;111.192386904;822.2
-7.762953190;111.193098777;876.5
-7.759446024;111.193479735;881.3
-7.758185780;111.193821550;884.2
-7.751123036;111.195216210;987.5
-7.748176955;111.195578905;1049.0
-7.746051990;111.196577448;1000.9
-7.740257861;111.197937132;1146.3
-7.738638598;111.198276736;1134.4
-7.733224025;111.199942432;1231.4
-7.731623483;111.200280523;1249.9
-7.727060232;111.201580506;1485.8
-7.724752464;111.201903273;1634.9
-7.716104507;111.203642903;1554.2
-7.713712101;111.203726043;1431.0
-7.705273121;111.204812778;1479.1
-7.688416672;111.206328737;1587.3
